,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
115468,0,5,1.0,1.0,0.0,1.0,1,4,2.0,3.0,57,1,3.0,1.0,0,4.0,0,40.0,20000.0,1.0
115500,0,3,1.0,1.0,0.0,1.0,1,6,3.0,4.0,39,0,3.0,1.0,0,4.0,0,75.0,10000.0,3.0
115534,0,5,1.0,3.0,0.0,3.0,1,6,4.0,2.0,51,0,3.0,1.0,0,4.0,0,25.0,10000.0,3.0
115537,0,4,1.0,1.0,0.0,1.0,1,1,1.0,1.0,32,1,5.0,1.0,0,4.0,0,15.0,12000.0,1.0
115539,0,4,0.0,1.0,0.0,0.0,1,1,5.0,2.0,65,0,3.0,1.0,0,4.0,0,30.0,20000.0,2.0
115613,0,5,1.0,1.0,0.0,1.0,1,6,4.0,3.0,31,0,5.0,1.0,0,4.0,0,40.0,20000.0,2.0
115650,0,2,1.0,2.0,0.0,4.0,1,5,5.0,5.0,69,0,2.0,1.0,0,4.0,0,10.0,6000.0,3.0
115666,0,2,0.0,2.0,0.0,1.0,1,5,2.0,2.0,67,1,3.0,1.0,0,1.0,0,35.0,8000.0,2.0
115674,0,5,0.0,1.0,0.0,1.0,1,1,2.0,3.0,52,1,4.0,1.0,0,4.0,0,30.0,4000.0,2.0
115697,0,4,1.0,2.0,0.0,4.0,1,5,2.0,3.0,47,0,4.0,1.0,0,1.0,0,22.0,14000.0,2.0
115768,0,4,1.0,1.0,0.0,1.0,1,4,5.0,5.0,42,1,4.0,1.0,0,4.0,0,40.0,8000.0,1.0
115805,0,5,0.0,1.0,0.0,1.0,1,2,2.0,3.0,45,0,5.0,1.0,0,4.0,0,5.0,13500.0,3.0
115808,0,4,0.0,1.0,0.0,1.0,0,2,4.0,3.0,24,1,3.0,3.0,0,1.0,0,20.0,45000.0,1.0
115809,0,4,1.0,2.0,0.0,3.0,1,2,2.0,2.0,23,0,3.0,1.0,0,1.0,0,8.0,30000.0,3.0
115825,0,2,1.0,1.0,0.0,2.0,1,5,3.0,2.0,16,1,1.0,1.0,0,1.0,0,20.0,500.0,3.0
115853,0,5,1.0,2.0,0.0,3.0,1,6,5.0,5.0,63,0,3.0,1.0,1,1.0,0,45.0,12000.0,1.0
115859,0,5,0.0,1.0,0.0,1.0,1,1,5.0,5.0,17,1,1.0,1.0,0,1.0,0,20.0,10000.0,2.0
115910,0,1,1.0,4.0,0.0,3.0,0,2,4.0,4.0,32,1,2.0,1.0,0,3.0,0,15.0,100000.0,3.0
115921,0,3,0.0,2.0,0.0,1.0,1,5,2.0,2.0,28,0,3.0,2.0,0,4.0,0,15.0,15000.0,2.0
115947,0,5,1.0,2.0,0.0,2.0,0,3,3.0,3.0,82,1,5.0,1.0,0,4.0,0,10.0,10000.0,2.0
115998,0,5,1.0,1.0,0.0,2.0,0,2,5.0,5.0,53,1,5.0,1.0,0,4.0,0,0.0,6000.0,1.0
